类别,尺度,样本数量,loss,平均,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16
car,S,427.0,15830.513940544351,37.07380313944813,0.247,0.327,0.459,0.512,0.548,0.583,0.596,0.638,0.71,0.646,0.714,0.703,0.725,0.747,0.737,0.747
motorbike,M,322.0,38918.59361197539,120.8651975527186,0.048,0.413,0.504,0.618,0.753,0.629,0.674,0.73,0.79,0.71,0.73,0.807,0.701,0.831,0.817,0.831
bicycle,M,286.0,31900.38929248942,111.53982270101196,0.248,0.409,0.66,0.617,0.621,0.717,0.668,0.833,0.708,0.767,0.852,0.817,0.829,0.797,0.849,0.797
bus,M,163.0,14891.184934432265,91.35696278792801,0.164,0.028,0.28,0.342,0.502,0.469,0.636,0.619,0.634,0.732,0.666,0.743,0.719,0.713,0.736,0.713
bird,S,148.0,8151.693174234258,55.07900793401525,0.106,0.082,0.31,0.27,0.282,0.266,0.329,0.433,0.433,0.369,0.437,0.406,0.408,0.456,0.458,0.456
horse,M,140.0,15412.279744634041,110.08771246167173,0.279,0.247,0.4,0.318,0.385,0.517,0.425,0.579,0.613,0.632,0.611,0.688,0.654,0.757,0.663,0.757
dog,M,127.0,12643.641166650516,99.55622965866547,0.12,0.313,0.074,0.464,0.522,0.292,0.546,0.73,0.675,0.617,0.658,0.682,0.762,0.699,0.731,0.699
train,M,104.0,9460.174768139606,90.9632189244193,0.036,0.405,0.37,0.538,0.245,0.684,0.518,0.658,0.674,0.568,0.658,0.597,0.64,0.655,0.641,0.655
pottedplant,S,72.0,1360.3537770845994,18.893802459508326,0.026,0.065,0.191,0.231,0.216,0.18,0.274,0.321,0.338,0.393,0.374,0.423,0.394,0.405,0.402,0.405
cat,M,72.0,9692.583151549721,134.61921043819058,0.376,0.532,0.585,0.799,0.659,0.727,0.798,0.658,0.863,0.884,0.794,0.911,0.881,0.903,0.906,0.903
sofa,M,59.0,9041.855730165376,153.2517920367013,0.041,0.012,0.0,0.095,0.141,0.268,0.275,0.419,0.465,0.558,0.467,0.596,0.505,0.473,0.465,0.473
