类别,尺度,Bboxs数量,样本数量,loss,平均,剩余loss,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16
cow,M,594.0,278.0,66440.98972173873,238.99636590553501,0.25937115481892004,0.366,0.45,0.45,0.524,0.422,0.294,0.567,0.482,0.58,0.377,0.494,0.666,0.646,0.6,0.625,0.737
sheep,S,519.0,72.0,10507.157795250798,145.9327471562611,0.35844103180184006,0.275,0.324,0.381,0.439,0.46,0.419,0.452,0.473,0.596,0.445,0.404,0.498,0.547,0.598,0.449,0.478
bottle,S,504.0,159.0,9790.089754687797,61.57289153891696,0.49681541497142634,0.054,0.092,0.113,0.16,0.165,0.063,0.18,0.174,0.233,0.238,0.255,0.265,0.249,0.192,0.275,0.214
tvmonitor,M,488.0,371.0,59970.65426974154,161.64596838205267,0.24252815004659556,0.545,0.657,0.633,0.69,0.728,0.698,0.698,0.75,0.738,0.712,0.725,0.764,0.773,0.743,0.698,0.708
aeroplane,M,454.0,223.0,38268.58770603484,171.60801661899032,0.23179263990731724,0.395,0.541,0.46,0.658,0.676,0.616,0.722,0.662,0.701,0.613,0.709,0.653,0.714,0.677,0.676,0.621
car,S,427.0,243.0,15830.513940544351,65.1461479034747,0.2895169185533707,0.251,0.316,0.4,0.414,0.473,0.456,0.478,0.505,0.601,0.504,0.567,0.53,0.572,0.562,0.54,0.572
motorbike,M,322.0,161.0,38918.59361197539,241.7303951054372,0.230983833156436,0.008,0.279,0.415,0.473,0.595,0.414,0.515,0.5,0.607,0.45,0.463,0.559,0.346,0.485,0.59,0.593
bicycle,M,286.0,212.0,31900.38929248942,150.473534398535,0.19324860892011275,0.226,0.387,0.613,0.564,0.549,0.643,0.544,0.762,0.582,0.635,0.758,0.701,0.679,0.713,0.724,0.617
bus,M,163.0,144.0,14891.184934432265,103.41100648911295,0.13691712792221766,0.196,0.002,0.216,0.222,0.374,0.28,0.465,0.406,0.393,0.547,0.443,0.56,0.466,0.54,0.499,0.463
bird,S,148.0,21.0,8151.693174234258,388.1758654397266,0.4808257406228993,0.082,0.09,0.325,0.233,0.088,0.124,0.169,0.227,0.214,0.201,0.229,0.183,0.15,0.231,0.165,0.153
horse,M,140.0,106.0,15412.279744634041,145.39886551541548,0.1635890603241067,0.26,0.248,0.291,0.229,0.189,0.263,0.241,0.394,0.341,0.404,0.302,0.406,0.329,0.38,0.385,0.479
dog,M,127.0,125.0,12643.641166650516,101.14912933320413,0.13384250983046642,0.059,0.216,0.072,0.288,0.352,0.143,0.326,0.453,0.356,0.351,0.358,0.38,0.497,0.484,0.425,0.373
train,M,104.0,70.0,9460.174768139606,135.1453538305658,0.15472940163810878,0.026,0.261,0.214,0.305,0.096,0.451,0.186,0.431,0.42,0.197,0.377,0.232,0.333,0.277,0.309,0.356
pottedplant,S,72.0,21.0,1360.3537770845994,64.77875128974283,0.11203843309165895,0.014,0.072,0.117,0.119,0.132,0.053,0.145,0.221,0.187,0.287,0.188,0.238,0.223,0.183,0.196,0.18
cat,M,72.0,72.0,9692.583151549721,134.61921043819058,0.16539036655957084,0.163,0.08,0.175,0.405,0.31,0.409,0.543,0.103,0.442,0.608,0.223,0.673,0.571,0.643,0.616,0.561
sofa,M,59.0,59.0,9041.855730165376,153.2517920367013,0.14879298487504533,0.083,0.0,0.0,0.089,0.102,0.17,0.055,0.17,0.145,0.254,0.075,0.202,0.124,0.21,0.054,0.061
boat,S,57.0,23.0,2323.0570687520108,101.00248125008743,0.8136299117815615,0.118,0.138,0.191,0.142,0.34,0.087,0.433,0.351,0.21,0.289,0.41,0.206,0.234,0.317,0.355,0.193
cow,S,55.0,51.0,2198.143936454343,43.10086149910477,0.29061288971947896,0.076,0.12,0.119,0.301,0.244,0.092,0.192,0.21,0.19,0.452,0.303,0.486,0.333,0.372,0.425,0.507
chair,S,46.0,44.0,3761.0101229470006,85.47750279425001,0.3108854054851634,0.028,0.025,0.029,0.052,0.038,0.028,0.031,0.068,0.035,0.059,0.029,0.043,0.065,0.088,0.084,0.068
tvmonitor,S,40.0,38.0,2214.1215565633997,58.26635675166841,0.1570156062125816,0.0,0.0,0.0,0.006,0.034,0.041,0.201,0.144,0.063,0.129,0.094,0.119,0.055,0.184,0.168,0.158
motorbike,S,19.0,17.0,1599.2496639326,94.07350964309411,0.20398453621098356,0.0,0.0,0.08,0.129,0.033,0.0,0.1,0.2,0.173,0.025,0.3,0.209,0.125,0.25,0.111,0.182
diningtable,M,8.0,6.0,1681.593199824999,280.26553330416647,0.0,0.0,0.0,0.001,0.002,0.036,0.012,0.011,0.045,0.089,0.029,0.016,0.023,0.017,0.038,0.026,0.004
aeroplane,S,2.0,2.0,179.5978,89.7989,0.0,0.096,0.103,0.136,0.168,0.237,0.196,0.366,0.183,0.421,0.193,0.363,0.103,0.173,0.0,0.231,0.327
train,S,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0.833,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0
sofa,S,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horse,S,0.0,0.0,0.0,0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.083,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0
diningtable,S,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,S,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bicycle,S,0.0,0.0,0.0,0,0.0,0.0,0.0,0.006,0.033,0.075,0.017,0.0,0.064,0.0,0.0,0.033,0.012,0.042,0.017,0.04,0.0
dog,S,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,S,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.042,0.017,0.0,0.0,0.067,0.117,0.0,0.012
