类别,尺度,loss,Epoch0,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16
person,L,AP:,,0.682,0.764,0.805,0.791,0.795,0.812,0.798,0.804,0.823,0.819,0.778,0.819,0.807,0.82,0.823,0.792
,,loss:,257375.0532110794,205666.76521666936,204657.57409545904,189101.111752175,178790.04310041305,166953.62031721295,157396.8366301824,149012.82645645156,142525.8108929884,133964.7247823246,127142.02861969873,121034.63887823527,114928.08930118743,109130.26405661173,104095.57497618718,98804.96851509303,96968.26302489793
,,loss变化:,1.0,0.7990936287364151,0.7951725372840021,0.7347297626281157,0.6946673380725175,0.6486783323956822,0.6115465918955927,0.5789715226760637,0.5537669992285523,0.5205039226255427,0.4939951523406837,0.47026561964019065,0.4465393512980925,0.4240125944417442,0.4044509119180869,0.38389489300682433,0.37675859340326956
,,mean:,129.20434398146554,103.2463680806573,95.9482297681477,88.65499847734412,83.82092972358792,78.27173948298778,73.7912970605637,69.86067813241986,66.81941438958668,62.80577814454974,59.6071395310355,56.743853201235474,53.880960760050364,51.16280546489064,48.80242614917355,46.32206681438961,45.46097657051004
chair,L,AP:,,0.304,0.362,0.419,0.36,0.344,0.413,0.486,0.443,0.459,0.488,0.403,0.427,0.53,0.492,0.477,0.501
,,loss:,95467.7805961192,77065.33881189395,80624.07119852492,73850.52682685902,70233.89771402036,65045.78192906869,61878.422098106916,57138.08714325217,53514.492079561925,51440.485723425576,48343.63623636874,45503.44906576584,44826.94014138428,40206.809771058855,39006.37865934634,37048.77615142,36472.54263060857
,,loss变化:,1.0,0.8072392416654408,0.8445160314306324,0.7735649280387802,0.7356816852289472,0.6813375310802272,0.6481602663403939,0.5985064991190845,0.5605502897983711,0.5388256163725738,0.5063869290194216,0.4766367122146712,0.4695504584004806,0.42115580272213093,0.40858160120391396,0.38807622760349414,0.38204033238090374
,,mean:,182.88846857494102,147.63474868178918,139.48801245419537,127.76907755511941,121.5119337612809,112.5359548945825,107.05609359534068,98.85482204714909,92.58562643522825,88.99738014433491,83.63950905946149,78.72569042520041,77.55525976018042,69.5619546212091,67.48508418572031,64.09822863567474,63.10128482804251
car,L,AP:,,0.731,0.778,0.778,0.795,0.844,0.8,0.823,0.828,0.823,0.81,0.822,0.829,0.803,0.772,0.806,0.812
,,loss:,68691.51471871285,49551.41584165835,49574.341295485865,43783.264932032216,40597.6989966865,36791.46364483241,33025.55582724002,31183.417395714707,28736.75503103922,26795.97152046726,25215.04974314715,23125.246155362885,21546.651246471825,20579.345123292558,18773.673088543514,17966.31225406016,16959.86956614037
,,loss变化:,1.0,0.7213615254310242,0.7216952704928619,0.6373897141637035,0.5910147587068266,0.5356041979200923,0.4807807188773965,0.4539631644957709,0.41834504812878726,0.3900914345854065,0.3670766301544097,0.33665360634511,0.3136726760896731,0.2995907894528691,0.2733041069980833,0.26155067809511856,0.2468990476566123
,,mean:,138.49095709417912,99.90204806785958,90.79549687817924,80.18912991214691,74.35476006719139,67.38363304914361,60.486365983956084,57.11248607273756,52.6314194707678,49.07687091660671,46.18140978598379,42.35393068747781,39.46273122064437,37.691108284418604,34.38401664568409,32.90533379864498,31.06203217241826
person,M,AP:,,0.463,0.521,0.619,0.606,0.628,0.654,0.672,0.671,0.667,0.659,0.67,0.68,0.677,0.666,0.643,0.703
,,loss:,90601.78453838838,73315.42030538527,58036.420116709734,53572.4120890923,50120.029909878656,45440.17256000515,42181.77755920273,40781.81288785081,38412.77346970441,35358.3758132881,32899.90087442671,32300.91416739564,30194.09224729087,28530.046794977607,27836.793139132642,25778.436308131084,25209.350620322035
,,loss变化:,1.0,0.8092050358491691,0.6405659713260885,0.5912953300207175,0.5531903170035528,0.5015372797734678,0.4655733634179151,0.450121519080801,0.4239736961630015,0.39026136177601,0.3631264112737964,0.35651520918674173,0.3332615621328904,0.31489497630026586,0.3072433206581937,0.28452459782631156,0.27824342256350054
,,mean:,144.50045380923189,116.93049490492068,111.1808814496355,102.62914193312702,96.0153829691162,87.05013900384128,80.80800298697841,78.1260783292161,73.58768863928047,67.73635213273582,63.02663002763738,61.87914591455103,57.84308859634267,54.655262059344075,53.327189921710044,49.383977601783684,48.29377513471654
dog,L,AP:,,0.196,0.557,0.531,0.788,0.796,0.751,0.633,0.745,0.648,0.73,0.69,0.693,0.756,0.645,0.835,0.788
,,loss:,43253.25190304248,33407.10008037966,31585.314197262687,27881.23138069749,25318.027305725525,23470.634413112944,21377.597645730475,19655.62211844862,18289.001788280402,16741.08518733197,15340.77497437713,14509.913584902155,13925.147803845588,13009.541411841712,12439.893421689667,11593.247460095832,10868.470170873265
,,loss变化:,1.0,0.7723604263389447,0.7302413762568669,0.644604281851379,0.5853439034475145,0.542632828295206,0.49424255299118336,0.45443108329771664,0.42283530101453326,0.38704801259473354,0.3546733320483133,0.3354641083964721,0.32194452881971813,0.30077603045903245,0.28760596890091006,0.2680318114828344,0.2512752149881421
,,mean:,166.358661165548,128.4888464629987,119.64134165629805,105.61072492688443,95.90161858229365,88.90391823148843,80.97574865806997,74.45311408503265,69.27652192530455,63.41320146716655,58.10899611506488,54.961793882205136,52.74677198426359,49.27856595394588,47.12080841549116,43.91381613672664,41.168447616944185
car,M,AP:,,0.53,0.612,0.674,0.703,0.699,0.724,0.727,0.757,0.724,0.755,0.704,0.697,0.749,0.732,0.746,0.75
